PeakID (cmd=annotatePeaks.pl repr_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep1_peak_933	chr1	146228817	146229331	+	3013	NA	promoter-TSS (ENST00000362074.8)	protein_coding-promoter-TSS (ENST00000362074.8)	-33	ENST00000689750.1	ENSG00000264343	ENST00000362074			NOTCH2NLA			protein_coding
rep1_peak_956	chr1	148679264	148680120	+	2856	NA	promoter-TSS (ENST00000593495.4)	protein_coding-promoter-TSS (ENST00000593495.4)	50	ENST00000606877.2	ENSG00000270629	ENST00000619423			NBPF14			protein_coding
rep1_peak_967	chr1	149390247	149390764	+	2435	NA	promoter-TSS (ENST00000621744.4)	protein_coding-promoter-TSS (ENST00000621744.4)	-116	ENST00000650865.2	ENSG00000286219	ENST00000650865			NOTCH2NLC			protein_coding
rep1_peak_740	chr1	120069178	120070015	+	2198	NA	promoter-TSS (ENST00000256646.7)	protein_coding-promoter-TSS (ENST00000256646.7)	20	ENST00000652302.1	ENSG00000134250	ENST00000478864			NOTCH2			protein_coding
rep1_peak_3996	chr15	70462699	70463421	+	1900	NA	Intergenic	Intergenic	42868	ENST00000559752.1	ENSG00000259473	ENST00000559752			LINC02205			lncRNA
rep1_peak_4302	chr16	11915871	11916319	+	1676	NA	promoter-TSS (ENST00000420576.6)	protein_coding-promoter-TSS (ENST00000420576.6)	-13	ENST00000420576.6	ENSG00000103342	ENST00000565267			GSPT1			protein_coding
rep1_peak_749	chr1	120723572	120724141	+	1529	NA	promoter-TSS (ENST00000620612.6)	protein_coding-promoter-TSS (ENST00000620612.6)	-56	ENST00000690847.1	ENSG00000286106	ENST00000690847			NOTCH2NLR			protein_coding
rep1_peak_3904	chr15	50354820	50355603	+	1459	NA	promoter-TSS (ENST00000220429.12)	protein_coding-promoter-TSS (ENST00000220429.12)	6	ENST00000667317.3	ENSG00000244879	ENST00000499326			GABPB1-AS1			lncRNA
rep1_peak_6421	chr2	11498541	11498959	+	1457	NA	intron (ENST00000628795.2, intron 1 of 2)	protein_coding-intron (ENST00000628795.2, intron 1 of 2)	16409	ENST00000628795.2	ENSG00000196208	ENST00000396123			GREB1			protein_coding
rep1_peak_1233	chr1	205211237	205211902	+	1418	NA	promoter-TSS (ENST00000367161.7)	protein_coding-promoter-TSS (ENST00000367161.7)	-3	ENST00000367161.7	ENSG00000133059	ENST00000367161			DSTYK			protein_coding
rep1_peak_11934	chr8	102600703	102601520	+	1119	NA	Intergenic	Intergenic	21220	ENST00000521750.3	ENSG00000253382	ENST00000521750			POU5F1P2			processed_pseudogene
rep1_peak_10063	chr5	178078194	178078651	+	1117	NA	intron (ENST00000651413.2, intron 14 of 14)	lncRNA-intron (ENST00000651413.2, intron 14 of 14)	13061	ENST00000651483.1	ENSG00000204677	ENST00000667131			FAM153CP			lncRNA
rep1_peak_7536	chr20	47319670	47320148	+	1072	NA	promoter-TSS (ENST00000468376.2)	protein_coding-promoter-TSS (ENST00000468376.2)	-848	ENST00000468376.2	ENSG00000101040	ENST00000360911			ZMYND8			protein_coding
rep1_peak_489	chr1	35268582	35268973	+	982	NA	promoter-TSS (ENST00000314607.11)	protein_coding-promoter-TSS (ENST00000314607.11)	68	ENST00000314607.11	ENSG00000146463	ENST00000482131			ZMYM4			protein_coding
rep1_peak_12124	chr9	15510864	15511354	+	886	NA	promoter-TSS (ENST00000380715.5)	protein_coding-promoter-TSS (ENST00000380715.5)	-114	ENST00000380738.8	ENSG00000164985	ENST00000380733			PSIP1			protein_coding
rep1_peak_8849	chr3	170221948	170222506	+	751	NA	promoter-TSS (ENST00000295797.5)	protein_coding-promoter-TSS (ENST00000295797.5)	-197	ENST00000295797.5	ENSG00000163558	ENST00000476635			PRKCI			protein_coding
rep1_peak_7881	chr21	15210180	15210643	+	719	NA	intron (ENST00000673983.1, intron 2 of 4)	lncRNA-intron (ENST00000673983.1, intron 2 of 4)	13983	ENST00000673983.1	ENSG00000288555	ENST00000673983			ENSG00000288555			lncRNA
rep1_peak_5298	chr17	57849958	57850412	+	715	NA	promoter-TSS (ENST00000313608.13)	protein_coding-promoter-TSS (ENST00000313608.13)	-129	ENST00000579380.1	ENSG00000181610	ENST00000313608			MRPS23			protein_coding
rep1_peak_7605	chr20	57264194	57264778	+	690	NA	intron (ENST00000450594.6, intron 1 of 5)	protein_coding-intron (ENST00000395863.8, intron 1 of 6)	1292	ENST00000433911.1	ENSG00000101144	ENST00000395864			BMP7			protein_coding
rep1_peak_5277	chr17	50944383	50944895	+	685	NA	promoter-TSS (ENST00000501718.2)	lncRNA-promoter-TSS (ENST00000501718.2)	-20	ENST00000701226.1	ENSG00000247011	ENST00000701226			ENSG00000247011			lncRNA
rep1_peak_12081	chr8	144078309	144078748	+	676	NA	promoter-TSS (ENST00000316052.6)	protein_coding-promoter-TSS (ENST00000316052.6)	-114	ENST00000703646.1	ENSG00000290230	ENST00000703646			ENSG00000290230			protein_coding
rep1_peak_715	chr1	113904767	113905424	+	667	NA	promoter-TSS (ENST00000256658.8)	protein_coding-promoter-TSS (ENST00000256658.8)	-25	ENST00000256658.8	ENSG00000134262	ENST00000489092			AP4B1			protein_coding
rep1_peak_10215	chr6	27241432	27241844	+	638	NA	Intergenic	Intergenic	-6063	ENST00000421826.6	ENSG00000112812	ENST00000488649			PRSS16			protein_coding
rep1_peak_5313	chr17	59964476	59964918	+	634	NA	promoter-TSS (ENST00000305783.13)	protein_coding-promoter-TSS (ENST00000305783.13)	15	ENST00000586083.5	ENSG00000189050	ENST00000586083			RNFT1			protein_coding
rep1_peak_3999	chr15	70892339	70892738	+	627	NA	promoter-TSS (ENST00000249861.9)	protein_coding-promoter-TSS (ENST00000249861.9)	-57	ENST00000560107.6	ENSG00000137821	ENST00000558271			LRRC49			protein_coding
rep1_peak_2284	chr11	68213618	68214176	+	619	NA	promoter-TSS (ENST00000304363.9)	protein_coding-promoter-TSS (ENST00000304363.9)	-45	ENST00000700526.1	ENSG00000110066	ENST00000402789			KMT5B			protein_coding
rep1_peak_11209	chr7	73235524	73236057	+	608	NA	TTS (ENST00000435988.1)	transcribed_unprocessed_pseudogene-TTS (ENST00000435988.1)	15144	ENST00000435988.1	ENSG00000182487	ENST00000435988			NCF1B			transcribed_unprocessed_pseudogene
rep1_peak_1364	chr1	234373349	234373804	+	580	NA	promoter-TSS (ENST00000366612.1)	protein_coding-promoter-TSS (ENST00000366612.1)	88	ENST00000451795.3	ENSG00000231663	ENST00000685022			COA6-AS1			lncRNA
rep1_peak_11227	chr7	74788866	74789460	+	566	NA	exon (ENST00000289473.11, exon 11 of 11)	protein_coding-exon (ENST00000289473.11, exon 11 of 11)	5720	ENST00000486097.1	ENSG00000158517	ENST00000464878			NCF1			protein_coding
